time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-11-30T03:00:00.0000000Z,2019-11-30T03:30:00.0000000Z,2019-11-30T03:01:16.9090000Z,2019-11-30T03:28:24.4260000Z,153.83,153.83,153.45,153.78,77.79234955,44
2019-11-30T03:30:00.0000000Z,2019-11-30T04:00:00.0000000Z,2019-11-30T03:30:00.5970000Z,2019-11-30T03:57:49.0600000Z,153.78,153.98,153.74,153.98,179.23150133,48
2019-11-30T04:00:00.0000000Z,2019-11-30T04:30:00.0000000Z,2019-11-30T04:00:01.7410000Z,2019-11-30T04:29:13.9530000Z,153.99,153.99,153.11,153.24,171.60820299,58
2019-11-30T04:30:00.0000000Z,2019-11-30T05:00:00.0000000Z,2019-11-30T04:30:09.0180000Z,2019-11-30T04:53:01.6280000Z,153.22,153.58,153.16,153.42,138.89567632,41
2019-11-30T05:00:00.0000000Z,2019-11-30T05:30:00.0000000Z,2019-11-30T05:02:32.9320000Z,2019-11-30T05:28:56.1350000Z,153.7,154.24,153.64,154.11,237.3395226,38
2019-11-30T05:30:00.0000000Z,2019-11-30T06:00:00.0000000Z,2019-11-30T05:31:48.7600000Z,2019-11-30T05:55:44.8700000Z,154.08,154.25,153.94,154.11,157.09285674,57
2019-11-30T06:00:00.0000000Z,2019-11-30T06:30:00.0000000Z,2019-11-30T06:01:10.4300000Z,2019-11-30T06:27:28.5980000Z,154.27,154.34,153.87,154.09,55.8159414,31
2019-11-30T06:30:00.0000000Z,2019-11-30T07:00:00.0000000Z,2019-11-30T06:32:23.4150000Z,2019-11-30T06:59:19.3170000Z,154.14,154.32,154.14,154.27,38.29069423,25
2019-11-30T07:00:00.0000000Z,2019-11-30T07:30:00.0000000Z,2019-11-30T07:01:47.0980000Z,2019-11-30T07:29:00.5660000Z,154.3,154.58,154.17,154.57,26.49378492,21
2019-11-30T07:30:00.0000000Z,2019-11-30T08:00:00.0000000Z,2019-11-30T07:36:27.8540000Z,2019-11-30T07:59:47.1350000Z,154.6,155.1,154.6,155.1,300.84054445,72
2019-11-30T08:00:00.0000000Z,2019-11-30T08:30:00.0000000Z,2019-11-30T08:01:12.7840000Z,2019-11-30T08:29:59.6550000Z,155.1,155.1,154.67,154.67,122.90893005,27
2019-11-30T08:30:00.0000000Z,2019-11-30T09:00:00.0000000Z,2019-11-30T08:32:23.1330000Z,2019-11-30T08:54:23.0120000Z,154.69,154.69,154.47,154.48,316.65914142,23
2019-11-30T09:00:00.0000000Z,2019-11-30T09:30:00.0000000Z,2019-11-30T09:00:41.7770000Z,2019-11-30T09:29:49.3330000Z,154.25,154.3,154.0,154.15,138.26974085,58
2019-11-30T09:30:00.0000000Z,2019-11-30T10:00:00.0000000Z,2019-11-30T09:33:13.8260000Z,2019-11-30T09:59:38.0180000Z,154.14,154.18,153.26,153.58,101.23436301,49
2019-11-30T10:00:00.0000000Z,2019-11-30T10:30:00.0000000Z,2019-11-30T10:00:06.0870000Z,2019-11-30T10:26:49.2850000Z,153.64,154.84,152.9,153.55,663.37619745,120
2019-11-30T10:30:00.0000000Z,2019-11-30T11:00:00.0000000Z,2019-11-30T10:30:00.7750000Z,2019-11-30T10:59:38.4570000Z,153.63,153.95,153.3,153.84,116.21260288,40
2019-11-30T11:00:00.0000000Z,2019-11-30T11:30:00.0000000Z,2019-11-30T11:00:53.6210000Z,2019-11-30T11:29:41.2380000Z,153.84,153.84,153.1,153.22,93.1148188,48
2019-11-30T11:30:00.0000000Z,2019-11-30T12:00:00.0000000Z,2019-11-30T11:30:14.0490000Z,2019-11-30T11:59:45.6790000Z,153.13,153.57,153.02,153.11,116.49653418,59
2019-11-30T12:00:00.0000000Z,2019-11-30T12:30:00.0000000Z,2019-11-30T12:00:07.0450000Z,2019-11-30T12:29:34.0560000Z,152.96,153.62,152.86,153.6,680.28823277,61
2019-11-30T12:30:00.0000000Z,2019-11-30T13:00:00.0000000Z,2019-11-30T12:30:00.8580000Z,2019-11-30T12:56:53.3460000Z,153.59,153.68,153.33,153.53,291.19184818,70
2019-11-30T13:00:00.0000000Z,2019-11-30T13:30:00.0000000Z,2019-11-30T13:00:45.0750000Z,2019-11-30T13:28:52.6670000Z,153.44,153.65,153.26,153.58,191.18057146,65
2019-11-30T13:30:00.0000000Z,2019-11-30T14:00:00.0000000Z,2019-11-30T13:31:23.1870000Z,2019-11-30T13:56:05.2070000Z,153.42,153.51,152.56,152.88,293.51211905,97
2019-11-30T14:00:00.0000000Z,2019-11-30T14:30:00.0000000Z,2019-11-30T14:00:42.0650000Z,2019-11-30T14:28:10.6230000Z,152.75,153.0,150.86,151.6,1562.83629614,244
2019-11-30T14:30:00.0000000Z,2019-11-30T15:00:00.0000000Z,2019-11-30T14:31:34.3130000Z,2019-11-30T14:59:35.2910000Z,151.76,152.2,151.73,151.89,340.07684589,67
2019-11-30T15:00:00.0000000Z,2019-11-30T15:30:00.0000000Z,2019-11-30T15:01:30.4200000Z,2019-11-30T15:29:49.6470000Z,151.72,152.64,151.21,152.5,1275.00048855,159
2019-11-30T15:30:00.0000000Z,2019-11-30T16:00:00.0000000Z,2019-11-30T15:31:03.9120000Z,2019-11-30T15:55:45.2580000Z,152.45,152.65,151.59,151.59,303.62664882,50
2019-11-30T16:00:00.0000000Z,2019-11-30T16:30:00.0000000Z,2019-11-30T16:00:41.8520000Z,2019-11-30T16:29:53.3110000Z,151.77,152.81,151.16,152.64,254.09450575,75
2019-11-30T16:30:00.0000000Z,2019-11-30T17:00:00.0000000Z,2019-11-30T16:30:53.6030000Z,2019-11-30T16:59:32.5040000Z,152.45,152.54,152.24,152.38,92.78587576,48
2019-11-30T17:00:00.0000000Z,2019-11-30T17:30:00.0000000Z,2019-11-30T17:00:17.3620000Z,2019-11-30T17:29:41.0600000Z,152.36,152.38,151.48,151.55,83.33722135,66
2019-11-30T17:30:00.0000000Z,2019-11-30T18:00:00.0000000Z,2019-11-30T17:30:11.1460000Z,2019-11-30T17:59:00.2200000Z,151.57,151.8,150.01,150.89,1273.20646863,234
2019-11-30T18:00:00.0000000Z,2019-11-30T18:30:00.0000000Z,2019-11-30T18:00:00.6270000Z,2019-11-30T18:29:36.7890000Z,150.88,151.39,150.54,150.98,352.50382774,60
